"Vanhanen","Matti","Uusimaa","Suomen keskusta","45,300.00"
"Vapaavuori","Jan","Helsinki","Kansallinen Kokoomus","54,353.29"
"Vehkaperä","Mirja","Oulu","Suomen keskusta","33,637.00"
"Vehviläinen","Anu","Pohjois-Karjala","Suomen keskusta","79,080.00"
"Wideroos","Ulla-Maj","Vaasa","Ruotsalainen kansanpuolue","33,560.00"
"Viitamies","Pauliina","Etelä-Savo","Suomen Sosialidemokraattinen Puolue","57,300.00"
"Viitanen","Pia","Pirkanmaa","Suomen Sosialidemokraattinen Puolue","27,752.00"
"Viljanen","Ilkka","Häme","Kansallinen Kokoomus","37,452.50"
"Vilkuna","Pekka","Oulu","Suomen keskusta","41,500.00"
"Virkkunen","Henna","Keski-Suomi","Kansallinen Kokoomus","36,200.00"
"Virolainen","Anne-Mari","Varsinais-Suomi","Kansallinen Kokoomus","44,018.00"
"Virtanen","Erkki","Pohjois-Savo","Vasemmistoliitto","28,500.00"
"Virtanen","Pertti","Pirkanmaa","Perussuomalaiset","2,000.00"
"Vistbacka","Raimo","Vaasa","Perussuomalaiset","32,165.00"
"Vuolanne","Antti","Satakunta","Suomen Sosialidemokraattinen Puolue","30,200.00"
"Väyrynen","Paavo","Lappi","Suomen keskusta","24,050.00"
"Väätäinen","Tuula","Pohjois-Savo","Suomen Sosialidemokraattinen Puolue","18,100.00"
"Yrttiaho","Jyrki","Varsinais-Suomi","Vasemmistoliitto","21,000.00"
"Zyskowicz","Ben","Helsinki","Kansallinen Kokoomus","39,691.00"
" Aaltonen"," Risto","Hämeen vaalipiiri","Vasemmistoliitto","16,680.00"
" Aarnio"," Ulriikka","Pirkanmaan vaalipiiri","Vihreä liitto","7,182.07"
" Alanen"," Tuomo","Keski-Suomen vaalipiiri","Vasemmistoliitto","16,253.50"
" Backman"," Jouni","Etelä-Savon vaalipiiri","Suomen Sosialidemokraattinen Puolue","14,892.00"
" Björnberg-Enckell"," Maria","Helsingin vaalipiiri","Ruotsalainen kansanpuolue","56,514.52"
" Eestilä"," Markku","Pohjois-Savon vaalipiiri","Kansallinen Kokoomus","39,942.35"
" Eskanen"," Heli","Satakunnan vaalipiiri","Suomen Sosialidemokraattinen Puolue","35,454.91"
" Haapanen"," Satu","Oulun vaalipiiri","Vihreä liitto","33,293.92"
" Hautala"," Lasse","Vaasan vaalipiiri","Suomen Keskusta","69,780.00"
" Huovinen"," Pentti","Varsinais-Suomen vaalipiiri","Kansallinen Kokoomus","21,490.00"
" Immonen"," Mikko","Varsinais-Suomen vaalipiiri","Vasemmistoliitto","43,000.00"
" Jokinen"," Kalle","Hämeen vaalipiiri","Kansallinen Kokoomus","44,800.00"
" Jussila"," Jorma","Pirkanmaan vaalipiiri","Suomen Kristillisdemokraatit (KD)","3,185.00"
" Juurikkala"," Timo","Uudenmaan vaalipiiri","Vihreä liitto","19,523.64"
" Juutinen"," Timo","Lapin vaalipiiri","Vasemmistoliitto","6,283.56"
" Jääskeläinen"," Pietari","Uudenmaan vaalipiiri","Perussuomalaiset","21,200.00"
" Kalliorinne"," Risto","Oulun vaalipiiri","Vasemmistoliitto","40,883.00"
" Kettunen"," Rauno","Pohjois-Savon vaalipiiri","Suomen Keskusta","24,513.53"
" Kuisma"," Risto","Uudenmaan vaalipiiri","Suomen Sosialidemokraattinen Puolue","35,047.13"
" Kämäräinen"," Matti","Pohjois-Karjalan vaalipiiri","Suomen Keskusta","53,000.00"
" Lahtela"," Seppo","Kymen vaalipiiri","Kansallinen Kokoomus","39,950.00"
" Laukkanen"," Antero","Uudenmaan vaalipiiri","Suomen Kristillisdemokraatit (KD)","14,810.00"
" Lepistö"," Joonas","Pirkanmaan vaalipiiri","Suomen Sosialidemokraattinen Puolue","15,014.40"
" Liinaharja"," Kristiina","Hämeen vaalipiiri","Vihreä liitto","13,527.12"
" Liljeström"," Christel","Uudenmaan vaalipiiri","Ruotsalainen kansanpuolue","23,220.08"
" Mantere"," Leena","Hämeen vaalipiiri","Suomen Kristillisdemokraatit (KD)","19,600.00"
" Moilanen-Savolainen"," Riikka","Oulun vaalipiiri","Suomen Keskusta","46,190.00"
" Mäkipää"," Lea","Pirkanmaan vaalipiiri","Perussuomalaiset","19,600.00"
" Nerg"," Päivi","Pohjois-Savon vaalipiiri","Suomen Kristillisdemokraatit (KD)","11,000.00"
" Nousiainen"," Pekka","Etelä-Savon vaalipiiri","Suomen Keskusta","44,971.00"
" Nummelin"," Aki","Satakunnnan vaalipiiri","Vasemmistoliitto","26,720.00"
" Nygård-Fagerudd"," Wivan","Vaasan vaalipiiri","Ruotsalainen kansanpuolue","14,420.00"
" Olin"," Kalevi","Keski-Suomen vaalipiiri","Suomen Sosialidemokraattinen Puolue","28,000.00"
" Penttilä"," Mika","Hämeen vaalipiiri","Suomen Keskusta","16,524.07"
" Piirainen"," Raimo","Oulun vaalipiiri","Suomen Sosialidemokraattinen Puolue","23,199.74"
" Piironen"," Juha","Pohjois-Karjalan vaalipiiri","Suomen Kristillisdemokraatit (KD)","22,937.00"
" Pirttilahti"," Arto","Pirkanmaan vaalipiiri","Suomen Keskusta","75,865.93"
" Porkka"," Jukka","Kymen vaalipiiri","Vasemmistoliitto","9,600.00"
" Posti"," Pekka","Kymen vaalipiiri","Suomen Sosialidemokraattinen Puolue","36,705.00"
" Puhakka"," Sirpa","Helsingin vaalipiiri","Vasemmistoliitto","42,676.00"
" Puisto"," Virpa","Varsinais-Suomen vaalipiiri","Suomen Sosialidemokraattinen Puolue","28,000.00"
" Rantanen"," Elina","Varsinais-Suomi","Vihreä liitto","2,935.00"
" Rask"," Maija","Lapin vaalipiiri","Suomen Sosialidemokraattinen Puolue","21,900.00"
" Relander"," Jukka","Helsingin vaalipiiri","Vihreä liitto","12,000.00"
" Riikonen"," Teuvo V.","Etelä-Savon vaalipiiri","Suomen Kristillisdemokraatit (KD)","18,429.00"
" Rundgren"," Simo","Lapin vaalipiiri","Suomen Keskusta","52,500.00"
" Saarakkala"," Vesa-Matti","Vaasan vaalipiiri","Perussuomalaiset","10,000.00"
" Salmi"," Kari","Hämeen vaalipiiri","Suomen Sosialidemokraattinen Puolue","32,724.65"
" Salo"," Mauri","Varsinais-Suomen vaalipiiri","Suomen Keskusta","64,000.00"
" Sankelo"," Janne","Vaasan vaalipiiri","Kansallinen Kokoomus","40,530.00"
" Semi"," Matti","Pohjois-Savon vaalipiiri","Vasemmistoliitto","26,600.00"
" Snellman"," Gerhard","Vaasan vaalipiiri","Suomen Kristillisdemokraatit (KD)","58,700.00"
" Sokka"," Irja","Pohjois-Savon vaalipiiri","Suomen Sosialidemokraattinen Puolue","14,000.00"
" Sorri"," Katja","Keski-Suomen vaalipiiri","Suomen Keskusta","25,200.00"
" Särkiniemi"," Seppo","Uudenmaan vaalipiiri","Suomen Keskusta","16,197.76"
" Söderman"," Jacob","Helsingin vaalipiiri","Suomen Sosialidemokraattinen Puolue","47,962.35"
" Tahvanainen"," Säde","Pohjois-Karjalan vaalipiiri","Suomen Sosialidemokraattinen Puolue","26,855.34"
" Telemäki"," Satu","Pirkanmaan vaalipiiri","Kansallinen Kokoomus","34,800.34"
" Torniainen"," Ari","Kymen vaalipiiri","Suomen Keskusta","31,500.00"
" Tuori"," Jukka","Satakunnan vaalipiiri","Kansallinen Kokoomus","18,000.00"
" Turkia"," Juha","Kymen vaalipiiri","Suomen Kristillisdemokraatit (KD)","18,158.06"
" Törmänen"," Timo","Lapin vaalipiiri","Vihreä liitto","26,548.16"
" Uotila"," Kari","Uudenmaan vaalipiiri","Vasemmistoliitto","36,500.00"
" Wallin"," Harry","Vaasan vaalipiiri","Suomen Sosialidemokraattinen Puolue","34,903.00"
" Valtonen"," Olli","Helsingin vaalipiiri","Kansallinen Kokoomus","30,385.44"
" Vanhanen"," Merja","Helsingin vaalipiiri","Suomen Keskusta","9,030.00"
" Veijola"," Mervi","Pirkanmaan vaalipiiri","Vasemmistoliitto","24,470.00"
" Vielma"," Ahti","Keski-Suomen vaalipiiri","Kansallinen Kokoomus","28,000.00"
" Virén"," Lasse","Uudenmaan vaalipiiri","Kansallinen Kokoomus","32,708.72"
" Visakorpi"," Marika","Keski-Suomen vaalipiiri","Suomen Kristillisdemokraatit (KD)","10,185.00"
" Yypänaho"," Jorma","Oulun vaalipiiri","Kansallinen Kokoomus","66,877.00"
"Eriksson"," Roger","Ahvenanmaa",,"10,927.53"
